,year,school,subject,t_band6,t_male,t_female
0,2014,Bede Polding College,15090,1,1,0
1,2014,Bede Polding College,15220,2,0,2
2,2014,Bede Polding College,15235,2,0,2
3,2014,Bede Polding College,15090,2,0,2
4,2014,Bede Polding College,15040,5,3,2
5,2014,Bede Polding College,15130,1,0,1
6,2014,Bede Polding College,15250,1,1,0
7,2014,Bede Polding College,15370,1,0,1
8,2014,Bede Polding College,15060,1,0,1
9,2014,Bede Polding College,15235,2,0,2
10,2014,Bede Polding College,15290,4,2,2
11,2014,Bede Polding College,15080,1,1,0
12,2014,Bede Polding College,15060,6,0,6
13,2014,Bede Polding College,15320,2,1,1
14,2014,Bede Polding College,15140,1,0,1
15,2014,Bede Polding College,15140,1,0,1
16,2014,Bede Polding College,15220,1,1,0
17,2014,Bede Polding College,15240,2,2,0
18,2014,Bede Polding College,15240,2,2,0
19,2014,Bede Polding College,15030,1,1,0
20,2014,Bede Polding College,26599,3,0,3
21,2014,Bede Polding College,15370,8,2,6
22,2014,Bede Polding College,15020,2,1,1
23,2014,Bede Polding College,15040,1,1,0
24,2014,St Bishoy Coptic Orthodox College,15510,1,0,1
25,2014,St Bishoy Coptic Orthodox College,15260,1,1,0
26,2014,Australian International School Hong Kong,15570,4,1,3
27,2014,Australian International School Hong Kong,15170,1,1,0
28,2014,Australian International School Hong Kong,15310,1,0,1
29,2014,Australian International School Hong Kong,15235,2,0,2
30,2014,Australian International School Hong Kong,15550,4,1,3
31,2014,Australian International School Hong Kong,15235,3,3,0
32,2014,Australian International School Hong Kong,15250,1,0,1
33,2014,Australian International School Hong Kong,15160,2,1,1
34,2014,Australian International School Hong Kong,15080,5,4,1
35,2014,Australian International School Hong Kong,15270,1,0,1
36,2014,Australian International School Hong Kong,15400,1,0,1
37,2014,Australian International School Hong Kong,15330,1,1,0
38,2014,Australian International School Hong Kong,15140,2,1,1
39,2014,Australian International School Hong Kong,15190,1,1,0
40,2014,Australian International School Hong Kong,15210,1,0,1
41,2014,Australian International School Hong Kong,15240,4,2,2
42,2014,Australian International School Hong Kong,15080,2,1,1
43,2014,Australian International School Hong Kong,15240,1,1,0
44,2014,Australian International School Hong Kong,15030,1,1,0
45,2014,Australian International School Hong Kong,15170,1,0,1
46,2014,Australian International School Hong Kong,15670,3,2,1
47,2014,St Joseph's Catholic High School,15220,1,1,0
48,2014,St Joseph's Catholic High School,15040,1,1,0
49,2014,St Joseph's Catholic High School,15130,1,1,0
50,2014,St Joseph's Catholic High School,15340,4,3,1
51,2014,St Joseph's Catholic High School,15370,2,1,1
52,2014,St Joseph's Catholic High School,15400,3,1,2
53,2014,St Joseph's Catholic High School,15290,3,1,2
54,2014,St Joseph's Catholic High School,15320,3,3,0
55,2014,St Joseph's Catholic High School,15400,1,0,1
56,2014,St Joseph's Catholic High School,15140,2,1,1
57,2014,St Joseph's Catholic High School,15240,1,1,0
58,2014,St Joseph's Catholic High School,15030,2,2,0
59,2014,St Joseph's Catholic High School,15240,1,1,0
60,2014,St Joseph's Catholic High School,15030,1,1,0
61,2014,St Joseph's Catholic High School,26599,3,1,2
62,2014,St Joseph's Catholic High School,15370,3,1,2
63,2014,St Joseph's Catholic High School,15040,1,0,1
64,2014,IPEKA Integrated Christian School,15040,5,2,3
65,2014,IPEKA Integrated Christian School,15250,4,3,1
66,2014,IPEKA Integrated Christian School,15250,3,2,1
67,2014,IPEKA Integrated Christian School,15050,2,1,1
68,2014,IPEKA Integrated Christian School,15330,2,1,1
69,2014,IPEKA Integrated Christian School,15240,5,4,1
70,2014,IPEKA Integrated Christian School,15240,10,5,5
71,2014,IPEKA Integrated Christian School,15030,3,1,2
72,2014,IPEKA Integrated Christian School,15260,1,1,0
73,2014,IPEKA Integrated Christian School,15150,1,1,0
74,2014,IPEKA Integrated Christian School,15550,2,2,0
75,2014,IPEKA Integrated Christian School,15260,1,0,1
76,2014,IPEKA Integrated Christian School,15110,1,1,0
77,2014,Farrer Memorial Agricultural High School,15340,2,2,0
