,year,school,subject,t_band6,t_male,t_female
0,2013,Dapto High School,15240,1,1,0
1,2013,Dapto High School,15350,1,0,1
2,2013,Dapto High School,15030,1,0,1
3,2013,Dapto High School,15060,2,0,2
4,2013,Galstaun College,15230,1,1,0
5,2013,Frensham School,15240,6,0,6
6,2013,Frensham School,15270,3,0,3
7,2013,Frensham School,15230,3,0,3
8,2013,Frensham School,15190,2,0,2
9,2013,Frensham School,15080,2,0,2
10,2013,Frensham School,15090,2,0,2
11,2013,Frensham School,15320,2,0,2
12,2013,Frensham School,15280,2,0,2
13,2013,Frensham School,15160,2,0,2
14,2013,Frensham School,15680,1,0,1
15,2013,Frensham School,15900,2,0,2
16,2013,Frensham School,15330,3,0,3
17,2013,Frensham School,15400,8,0,8
18,2013,Frensham School,15140,6,0,6
19,2013,Frensham School,15050,2,0,2
20,2013,Frensham School,15290,3,0,3
21,2013,Frensham School,15250,2,0,2
22,2013,Frensham School,15010,3,0,3
23,2013,Meadowbank Education Trust School,15240,3,3,0
24,2013,Meadowbank Education Trust School,15270,2,1,1
25,2013,Meadowbank Education Trust School,15340,15,6,9
26,2013,Meadowbank Education Trust School,15230,15,6,9
27,2013,Meadowbank Education Trust School,15670,2,1,1
28,2013,Meadowbank Education Trust School,15200,14,11,3
29,2013,Meadowbank Education Trust School,27299,4,2,2
30,2013,Meadowbank Education Trust School,15040,5,3,2
31,2013,Meadowbank Education Trust School,26199,3,0,3
32,2013,Meadowbank Education Trust School,15180,2,0,2
33,2013,Meadowbank Education Trust School,15130,2,0,2
34,2013,Meadowbank Education Trust School,15390,2,0,2
35,2013,Dubbo College Senior Campus,15270,1,0,1
36,2013,Dubbo College Senior Campus,15340,1,1,0
37,2013,Dubbo College Senior Campus,15230,2,1,1
38,2013,Dubbo College Senior Campus,15080,1,0,1
39,2013,Dubbo College Senior Campus,15320,3,0,3
40,2013,Dubbo College Senior Campus,15280,1,0,1
41,2013,Dubbo College Senior Campus,15200,2,2,0
42,2013,Dubbo College Senior Campus,15030,2,1,1
43,2013,Dubbo College Senior Campus,26599,1,0,1
44,2013,Dubbo College Senior Campus,15180,2,2,0
45,2013,Dubbo College Senior Campus,15060,1,1,0
46,2013,Dubbo College Senior Campus,15140,1,0,1
47,2013,Dubbo College Senior Campus,15250,1,1,0
48,2013,Dubbo College Senior Campus,15220,5,2,3
49,2013,St Ursula's College,15240,3,0,3
50,2013,St Ursula's College,15270,7,0,7
51,2013,St Ursula's College,26499,1,0,1
52,2013,St Ursula's College,15230,13,0,13
53,2013,St Ursula's College,15090,1,0,1
